CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Day,Month,Year
1997-01-02,7.0,3.0,0.0,6.0,3.0,0.0,100.0,92.0,71.0,1007,1003,997,10.0,9.0,4.0,26,8,47.0,0.0,5.0,Rain,143,2,January,1997
1997-01-03,5.0,3.0,2.0,5.0,1.0,-1.0,100.0,85.0,70.0,1005,999,996,10.0,10.0,7.0,27,19,,0.0,6.0,Rain-Snow,256,3,January,1997
1997-01-05,2.0,0.0,-1.0,2.0,0.0,-3.0,100.0,95.0,86.0,1012,1008,1005,10.0,5.0,1.0,14,6,,0.0,7.0,Snow,2,5,January,1997
1997-01-07,2.0,0.0,-2.0,1.0,-1.0,-3.0,100.0,93.0,75.0,1016,1014,1009,10.0,7.0,0.0,6,2,,0.0,7.0,Snow,43,7,January,1997
1997-01-08,8.0,4.0,1.0,7.0,4.0,1.0,100.0,96.0,87.0,1015,1005,1003,10.0,8.0,4.0,26,8,,0.0,7.0,Rain,273,8,January,1997
1997-01-09,12.0,10.0,8.0,8.0,3.0,0.0,100.0,65.0,44.0,1015,1008,1003,10.0,10.0,10.0,48,23,48.0,0.0,4.0,Rain,274,9,January,1997
1997-01-11,16.0,10.0,5.0,10.0,7.0,5.0,100.0,90.0,67.0,1024,1022,1021,10.0,6.0,0.0,11,2,,0.0,3.0,Fog,344,11,January,1997
1997-01-13,15.0,9.0,4.0,9.0,4.0,-1.0,100.0,75.0,38.0,1022,1021,1019,10.0,9.0,3.0,11,2,,0.0,4.0,Fog,128,13,January,1997
1997-01-15,11.0,8.0,5.0,7.0,5.0,4.0,100.0,83.0,62.0,1021,1019,1018,10.0,10.0,8.0,10,3,,0.0,6.0,Rain,16,15,January,1997
1997-01-17,13.0,9.0,5.0,9.0,5.0,1.0,100.0,78.0,47.0,1022,1018,1015,10.0,10.0,7.0,27,13,,0.0,4.0,Rain,267,17,January,1997
1997-01-18,6.0,3.0,2.0,6.0,4.0,2.0,100.0,98.0,93.0,1022,1019,1015,10.0,7.0,3.0,8,2,,0.0,6.0,Rain,357,18,January,1997
1997-01-19,9.0,7.0,6.0,7.0,6.0,5.0,100.0,97.0,87.0,1015,1011,1004,10.0,6.0,2.0,14,8,,0.0,4.0,Rain,99,19,January,1997
1997-01-20,9.0,7.0,5.0,9.0,7.0,5.0,100.0,100.0,100.0,1008,1005,1003,10.0,8.0,3.0,13,5,,0.0,5.0,Rain,320,20,January,1997
1997-01-22,13.0,8.0,3.0,8.0,5.0,3.0,100.0,85.0,58.0,1018,1016,1015,10.0,9.0,5.0,11,3,,0.0,5.0,Rain,33,22,January,1997
1997-01-23,12.0,10.0,9.0,10.0,9.0,9.0,100.0,96.0,82.0,1018,1014,1013,10.0,8.0,4.0,10,5,,0.0,7.0,Rain,29,23,January,1997
1997-01-24,13.0,10.0,7.0,9.0,8.0,7.0,100.0,90.0,67.0,1025,1021,1018,10.0,10.0,7.0,11,6,,0.0,5.0,Rain,357,24,January,1997
1997-01-27,15.0,8.0,2.0,8.0,6.0,2.0,100.0,84.0,55.0,1028,1027,1026,10.0,7.0,0.0,10,2,,0.0,6.0,Fog,5,27,January,1997
1997-02-01,12.0,9.0,6.0,9.0,7.0,6.0,100.0,95.0,77.0,1029,1028,1027,8.0,3.0,0.0,8,0,,0.0,3.0,Fog,0,1,February,1997
1997-02-02,13.0,9.0,5.0,9.0,7.0,5.0,100.0,93.0,72.0,1028,1026,1025,5.0,2.0,0.0,10,0,,0.0,5.0,Fog-Rain,155,2,February,1997
1997-02-03,13.0,10.0,7.0,9.0,6.0,1.0,100.0,76.0,47.0,1026,1025,1024,10.0,7.0,0.0,10,3,,0.0,4.0,Fog-Rain,72,3,February,1997
1997-02-12,18.0,10.0,3.0,9.0,6.0,3.0,100.0,78.0,52.0,1033,1030,1027,10.0,8.0,0.0,29,10,,0.0,1.0,Fog,306,12,February,1997
1997-02-15,16.0,10.0,5.0,7.0,2.0,1.0,81.0,54.0,39.0,1026,1024,1021,10.0,10.0,10.0,29,14,47.0,0.0,2.0,Fog,268,15,February,1997
1997-02-23,17.0,12.0,7.0,12.0,8.0,5.0,100.0,79.0,52.0,1026,1023,1021,10.0,7.0,0.0,26,6,,0.0,3.0,Fog-Rain,210,23,February,1997
1997-04-07,21.0,16.0,12.0,13.0,9.0,6.0,94.0,72.0,43.0,1016,1015,1014,10.0,10.0,10.0,34,8,,0.0,5.0,Rain,42,7,April,1997
1997-04-09,18.0,14.0,10.0,8.0,6.0,5.0,77.0,62.0,49.0,1026,1023,1021,10.0,10.0,10.0,19,8,,0.0,6.0,Rain,58,9,April,1997
1997-04-17,22.0,17.0,12.0,13.0,11.0,7.0,100.0,72.0,40.0,1011,1009,1006,10.0,10.0,4.0,26,10,45.0,0.0,6.0,Rain-Thunderstorm,252,17,April,1997
1997-04-18,18.0,14.0,11.0,12.0,10.0,7.0,100.0,78.0,49.0,1010,1008,1006,10.0,10.0,8.0,27,6,,0.0,6.0,Rain,232,18,April,1997
1997-04-19,17.0,14.0,12.0,14.0,13.0,11.0,100.0,93.0,82.0,1008,1004,1002,10.0,8.0,4.0,21,14,,0.0,6.0,Rain,207,19,April,1997
1997-04-20,17.0,14.0,12.0,13.0,12.0,10.0,100.0,87.0,63.0,1003,999,997,10.0,8.0,4.0,14,8,,0.0,6.0,Rain,123,20,April,1997
1997-04-21,20.0,15.0,10.0,10.0,7.0,2.0,94.0,64.0,37.0,1005,1001,999,10.0,10.0,8.0,23,13,,0.0,5.0,Rain,28,21,April,1997
1997-04-25,18.0,14.0,11.0,12.0,10.0,7.0,88.0,71.0,55.0,1023,1021,1020,10.0,10.0,10.0,10,3,,0.0,5.0,Rain,203,25,April,1997
1997-05-05,21.0,17.0,14.0,13.0,11.0,9.0,94.0,66.0,49.0,1011,1009,1006,10.0,10.0,5.0,45,29,72.0,0.0,4.0,Rain,259,5,May,1997
1997-05-06,17.0,13.0,10.0,12.0,4.0,1.0,88.0,58.0,39.0,1013,1011,1007,10.0,10.0,10.0,37,24,52.0,0.0,4.0,Rain,282,6,May,1997
1997-05-07,14.0,11.0,8.0,6.0,3.0,-1.0,76.0,57.0,41.0,1022,1010,1007,10.0,10.0,8.0,37,24,64.0,0.0,5.0,Rain,297,7,May,1997
1997-05-13,20.0,17.0,14.0,14.0,12.0,10.0,100.0,79.0,68.0,1018,1016,1015,10.0,10.0,5.0,21,6,,0.0,5.0,Rain-Thunderstorm,82,13,May,1997
1997-05-14,22.0,16.0,11.0,13.0,11.0,9.0,100.0,77.0,43.0,1017,1015,1014,10.0,10.0,8.0,19,8,,0.0,3.0,Rain-Thunderstorm,17,14,May,1997
1997-05-15,24.0,17.0,10.0,12.0,11.0,7.0,100.0,74.0,38.0,1016,1013,1010,10.0,10.0,7.0,26,3,45.0,0.0,4.0,Rain-Thunderstorm,253,15,May,1997
1997-05-16,19.0,16.0,12.0,13.0,11.0,7.0,100.0,76.0,52.0,1013,1012,1010,10.0,10.0,10.0,23,6,42.0,0.0,5.0,Rain-Thunderstorm,240,16,May,1997
1997-05-17,18.0,14.0,11.0,11.0,8.0,5.0,100.0,69.0,42.0,1016,1014,1013,10.0,10.0,10.0,21,11,,0.0,5.0,Rain,228,17,May,1997
1997-05-19,20.0,16.0,12.0,12.0,9.0,7.0,94.0,66.0,46.0,1014,1012,1010,10.0,10.0,8.0,34,16,55.0,0.0,6.0,Rain,248,19,May,1997
1997-05-23,27.0,18.0,10.0,11.0,9.0,7.0,82.0,52.0,32.0,1013,1011,1008,10.0,10.0,10.0,23,6,,0.0,3.0,Rain,190,23,May,1997
1997-05-25,18.0,16.0,13.0,15.0,13.0,11.0,100.0,85.0,68.0,1015,1013,1011,10.0,9.0,2.0,24,11,45.0,0.0,6.0,Rain,25,25,May,1997
1997-05-26,22.0,17.0,13.0,15.0,13.0,11.0,94.0,78.0,56.0,1017,1016,1015,10.0,10.0,6.0,11,3,,0.0,5.0,Rain,346,26,May,1997
1997-05-30,27.0,21.0,15.0,15.0,13.0,11.0,88.0,59.0,41.0,1019,1016,1012,10.0,10.0,7.0,21,8,,0.0,3.0,Rain-Thunderstorm,111,30,May,1997
1997-05-31,22.0,17.0,13.0,13.0,12.0,8.0,94.0,76.0,43.0,1015,1013,1010,10.0,10.0,8.0,26,10,,0.0,5.0,Rain-Thunderstorm,52,31,May,1997
